optimal_depth,search_name,solution_depth,nodes_expanded
14 , BFS_Graph , 14 , 4225
1 , BFS_Graph , 1 , 4
2 , BFS_Graph , 2 , 8
3 , BFS_Graph , 3 , 8
4 , BFS_Graph , 4 , 20
5 , BFS_Graph , 5 , 40
6 , BFS_Graph , 6 , 179
7 , BFS_Graph , 7 , 183
8 , BFS_Graph , 8 , 325
9 , BFS_Graph , 9 , 646
10 , BFS_Graph , 10 , 1250
11 , BFS_Graph , 11 , 2212
12 , BFS_Graph , 12 , 2995
13 , BFS_Graph , 13 , 6689
14 , BFS_Graph , 14 , 3899
1 , BFS_Graph , 1 , 2
2 , BFS_Graph , 2 , 4
3 , BFS_Graph , 3 , 10
4 , BFS_Graph , 4 , 39
5 , BFS_Graph , 5 , 50
6 , BFS_Graph , 6 , 179
7 , BFS_Graph , 7 , 190
8 , BFS_Graph , 8 , 449
9 , BFS_Graph , 9 , 722
10 , BFS_Graph , 10 , 1067
11 , BFS_Graph , 11 , 2064
12 , BFS_Graph , 12 , 3097
13 , BFS_Graph , 13 , 4449
14 , BFS_Graph , 14 , 2955
1 , BFS_Graph , 1 , 4
2 , BFS_Graph , 2 , 7
3 , BFS_Graph , 3 , 9
4 , BFS_Graph , 4 , 26
5 , BFS_Graph , 5 , 35
6 , BFS_Graph , 6 , 139
7 , BFS_Graph , 7 , 205
8 , BFS_Graph , 8 , 550
9 , BFS_Graph , 9 , 590
10 , BFS_Graph , 10 , 1192
11 , BFS_Graph , 11 , 2202
12 , BFS_Graph , 12 , 2383
13 , BFS_Graph , 13 , 6409
14 , BFS_Graph , 14 , 3682
1 , BFS_Graph , 1 , 3
2 , BFS_Graph , 2 , 8
3 , BFS_Graph , 3 , 9
4 , BFS_Graph , 4 , 38
5 , BFS_Graph , 5 , 32
6 , BFS_Graph , 6 , 131
7 , BFS_Graph , 7 , 220
8 , BFS_Graph , 8 , 374
9 , BFS_Graph , 9 , 744
10 , BFS_Graph , 10 , 1082
11 , BFS_Graph , 11 , 2016
12 , BFS_Graph , 12 , 2890
13 , BFS_Graph , 13 , 5026
14 , BFS_Graph , 14 , 2911
1 , BFS_Graph , 1 , 1
2 , BFS_Graph , 2 , 5
3 , BFS_Graph , 3 , 8
4 , BFS_Graph , 4 , 40
5 , BFS_Graph , 5 , 42
6 , BFS_Graph , 6 , 129
7 , BFS_Graph , 7 , 165
8 , BFS_Graph , 8 , 326
9 , BFS_Graph , 9 , 754
10 , BFS_Graph , 10 , 1218
11 , BFS_Graph , 11 , 2541
12 , BFS_Graph , 12 , 2550
13 , BFS_Graph , 13 , 5711
14 , BFS_Graph , 14 , 3483
1 , BFS_Graph , 1 , 4
2 , BFS_Graph , 2 , 9
3 , BFS_Graph , 3 , 7
4 , BFS_Graph , 4 , 30
5 , BFS_Graph , 5 , 40
6 , BFS_Graph , 6 , 132
7 , BFS_Graph , 7 , 206
8 , BFS_Graph , 8 , 394
9 , BFS_Graph , 9 , 575
10 , BFS_Graph , 10 , 1444
11 , BFS_Graph , 11 , 2471
12 , BFS_Graph , 12 , 3255
13 , BFS_Graph , 13 , 4804
14 , BFS_Graph , 14 , 3085
1 , BFS_Graph , 1 , 2
2 , BFS_Graph , 2 , 8
3 , BFS_Graph , 3 , 10
4 , BFS_Graph , 4 , 19
5 , BFS_Graph , 5 , 33
6 , BFS_Graph , 6 , 168
7 , BFS_Graph , 7 , 208
8 , BFS_Graph , 8 , 448
9 , BFS_Graph , 9 , 685
10 , BFS_Graph , 10 , 1042
11 , BFS_Graph , 11 , 2082
12 , BFS_Graph , 12 , 2857
13 , BFS_Graph , 13 , 5417
14 , BFS_Graph , 14 , 3755
1 , IDS , 1 , 1
2 , IDS , 2 , 2
3 , IDS , 3 , 3
4 , IDS , 4 , 12
5 , IDS , 5 , 20
6 , IDS , 6 , 178
7 , IDS , 7 , 116
8 , IDS , 8 , 2569
9 , IDS , 9 , 70
10 , IDS , 10 , 10881
11 , IDS , 11 , 42241
12 , IDS , 12 , 425407
13 , IDS , 13 , 982093
14 , IDS , 14 , 2220276
1 , IDS , 1 , 1
2 , IDS , 2 , 3
3 , IDS , 3 , 5
4 , IDS , 4 , 19
5 , IDS , 5 , 20
6 , IDS , 6 , 63
7 , IDS , 7 , 284
8 , IDS , 8 , 2814
9 , IDS , 9 , 1343
10 , IDS , 10 , 16121
11 , IDS , 11 , 21886
12 , IDS , 12 , 25105
13 , IDS , 13 , 208691
14 , IDS , 14 , 2288797
1 , IDS , 1 , 1
2 , IDS , 2 , 2
3 , IDS , 3 , 4
4 , IDS , 4 , 22
5 , IDS , 5 , 15
6 , IDS , 6 , 110
7 , IDS , 7 , 287
8 , IDS , 8 , 1979
9 , IDS , 9 , 2652
10 , IDS , 10 , 25125
11 , IDS , 11 , 27825
12 , IDS , 12 , 273815
13 , IDS , 13 , 444616
14 , IDS , 14 , 1157956
1 , IDS , 1 , 1
2 , IDS , 2 , 2
3 , IDS , 3 , 3
4 , IDS , 4 , 25
5 , IDS , 5 , 30
6 , IDS , 6 , 133
7 , IDS , 7 , 324
8 , IDS , 8 , 2027
9 , IDS , 9 , 2188
10 , IDS , 10 , 7106
11 , IDS , 11 , 24728
12 , IDS , 12 , 300964
13 , IDS , 13 , 211790
14 , IDS , 14 , 1306148
1 , IDS , 1 , 1
2 , IDS , 2 , 4
3 , IDS , 3 , 5
4 , IDS , 4 , 5
5 , IDS , 5 , 27
6 , IDS , 6 , 321
7 , IDS , 7 , 113
8 , IDS , 8 , 690
9 , IDS , 9 , 2497
10 , IDS , 10 , 3926
11 , IDS , 11 , 6478
12 , IDS , 12 , 190102
13 , IDS , 13 , 732290
14 , IDS , 14 , 2743451
1 , IDS , 1 , 1
2 , IDS , 2 , 3
3 , IDS , 3 , 5
4 , IDS , 4 , 5
5 , IDS , 5 , 13
6 , IDS , 6 , 27
7 , IDS , 7 , 139
8 , IDS , 8 , 1983
9 , IDS , 9 , 3108
10 , IDS , 10 , 9560
11 , IDS , 11 , 41282
12 , IDS , 12 , 121498
13 , IDS , 13 , 915875
14 , IDS , 14 , 449010
1 , IDS , 1 , 1
2 , IDS , 2 , 3
3 , IDS , 3 , 5
4 , IDS , 4 , 24
5 , IDS , 5 , 8
6 , IDS , 6 , 379
7 , IDS , 7 , 265
8 , IDS , 8 , 1912
9 , IDS , 9 , 1834
10 , IDS , 10 , 16060
11 , IDS , 11 , 563
12 , IDS , 12 , 412799
13 , IDS , 13 , 350148
14 , IDS , 14 , 1079585
1 , IDS , 1 , 1
2 , IDS , 2 , 2
3 , IDS , 3 , 3
4 , IDS , 4 , 22
5 , IDS , 5 , 8
6 , IDS , 6 , 369
7 , IDS , 7 , 255
8 , IDS , 8 , 1080
9 , IDS , 9 , 1557
10 , IDS , 10 , 4000
11 , IDS , 11 , 13154
12 , IDS , 12 , 424086
13 , IDS , 13 , 653118
14 , IDS , 14 , 1281253
1 , IDS , 1 , 1
2 , IDS , 2 , 2
3 , IDS , 3 , 4
4 , IDS , 4 , 14
5 , IDS , 5 , 11
6 , IDS , 6 , 421
7 , IDS , 7 , 431
8 , IDS , 8 , 531
9 , IDS , 9 , 3034
